Locality,Aggregate rating,restaurant_count
India Gate,1.68,6
Indian Rocks/Indian Shores,4.2,1
Indiranagar,4.32,6
Indirapuram,2.66,5
Indraprastha Colony,0.0,1
"Infiniti Hotel, Vijay Nagar",4.1,1
"International Business Center, Piplod",4.2,1
Inverloch,3.7,1
Iowa City,4.19,9
Ipanema,4.7,3
Itaim Bibi,2.83,3
Ittige Gudu,3.8,1
"JMD Kohinoor Mall, Greater Kailash",3.38,5
"JMD Megapolis Mall, Sohna Road",3.4,1
"JMD Regent Arcade Mall, MG Road",3.2,2
JNU,2.51,10
JP Nagar,4.6,1
JW Marriott New Delhi,3.3,1
Jagadamba Junction,3.7,1
Jail Road,2.56,61
"Jaipuria Plaza, Sector 26, Noida",2.97,13
Jakhan,4.4,3
Jama Masjid,2.47,26
Janakpuri,3.32,46
Jangpura,1.91,57
Janpath,3.02,39
Jardim Paulista,3.73,3
Jasola,3.0,21
Jayalakhsmipuram,3.83,3
"Jaypee Greens Golf & Spa Resort, Surajpur",3.25,4
"Jaypee Greens, Greater Noida, Noida",1.65,2
"Jaypee Siddharth, Rajendra Place",3.45,2
"Jaypee Vasant Continental, Vasant Vihar",3.4,5
Jewellery Quarter,4.1,1
Johnston,4.0,1
Jor Bagh,3.1,1
Jubilee Hills,4.39,7
Juhu,3.8,1
"Jukaso It Suites, Sector 14",2.8,1
Jumeirah 1,4.5,1
K Hotel,0.0,1
KS Rao Nagar,3.7,1
Kacheripady,4.07,3
Kadri,3.7,3
Kadru,3.6,1
Kad۱k�_y Merkez,3.7,1
Kahuku,4.5,1
Kailash Colony,2.07,22
Kailua Kona,4.7,1
Kaimuki,4.7,1
Kakkanad,3.8,3
Kalkaji,2.99,73
Kaloor,4.2,2
Kalyani Nagar,4.2,3
Kamla Nagar,3.3,65
Kanka,3.27,3
Kankanady,3.7,1
Kapashera,3.2,2
Kapitolyo,4.63,3
Karak�_y,4.4,4
Karampura,3.53,3
Karanpur,3.9,2
Karkardooma,3.48,23
Karkhana,4.4,1
Karol Bagh,3.07,76
"Kasbah, Greater Kailash (GK) 1",4.5,1
Kashmiri Gate,3.3,1
Kaushambi,0.0,1
Kavakl۱dere,4.3,1
"Kay Siang Road, Tanglin",3.2,1
Kelapa Gading,4.2,1
"Kentpark AVM, ��niversiteler, �ankaya",4.2,1
Kenwood,4.9,1
Khajpura,3.5,2
Khan Market,3.72,44
Khandari,3.6,1
Kidderpore,4.6,1
Kihei,4.35,4
Kilpauk,4.6,1
"Kingdom of Dreams, Sector 29",3.7,2
Kingman Place Historic District,4.3,1
Kirlampudi Layout,4.35,2
Kirti Nagar,3.09,56
"Kite Beach, Umm Suqeim",4.3,1
Kodailbail,4.1,1
Kohefiza,3.8,1
"Kollupitiya, Colombo 03",3.91,7
Kondapur,4.2,1
Koramangala 5th Block,4.5,3
Koramangala 6th Block,4.3,1
Koramangala 7th Block,4.5,1
Koregaon Park,4.25,4
"Kota Kasablanka, Tebet",4.4,1
Kotturpuram,4.1,1
Ko��uyolu,4.2,1
Krishna Nagar,1.9,77
Kuru�_e��me,3.85,2
Kuvempunagar,3.5,1
K۱z۱lay,4.0,2
K�_�_�_k Esat,4.5,2
LaFayette,3.7,1
Lado Sarai,0.73,9
Lago Sul,3.6,1
Lagoa,4.3,1
Lahaina,4.36,5
Lajpat Nagar 1,1.41,42
Lajpat Nagar 2,3.1,22
Lajpat Nagar 4,3.8,2
Lakes Entrance,3.8,1
Lakeview,3.6,1
Lal Kothi,4.15,2
Lalbagh,3.97,3
Lalpur,3.45,6
Lanka,3.4,3
Lava Hot Springs,3.6,2
"Lavender, Kallang",3.45,2
Law College Road,4.0,1
Lawrence Road,1.99,15
Lawsons Bay,3.7,2
Laxmi Nagar,2.78,58
Le Mars,3.7,1
"Le Meridien Gurgaon, MG Road",3.7,3
"Le Meridien, Janpath",3.67,6
"Le Monde, Barra da Tijuca",4.0,1
Leblon,4.5,2
"Leisure Inn, Sector 14, Gurgaon",3.0,3
Leith,4.55,4
Leme,4.2,2
"Lemon Tree Premier, Aerocity",3.5,1
"Lemon Tree Premier, Sector 29",3.2,1
Levenshulme,3.9,1
"Lexington Street, Soho",4.9,1
Linden,4.3,1
"Linking Road, Bandra West",3.8,1
Little Baguio,4.3,1
"Little Tokyo, Legaspi Village, Makati City",4.5,1
"Living Style Mall, Jasola",2.98,13
Lodhi Colony,3.18,31
Lodhi Road,2.42,19
Lodipur,3.4,3
"Logix City Centre, Sector 32, Noida",1.91,30
"Logix Cyber Park, Sector 62, Noida",0.0,2
"Long Acre, Covent Garden",3.8,1
Lorn,3.6,1
Lorne Street,4.2,1
Lower Parel,4.13,3
"LuLu Mall, Edappally",4.25,2
Lyall Bay,4.3,1
Lynnwood,4.3,1
"M Cube Mall, Vadiwadi",3.8,1
MG Road,1.61,63
"MGF Mega City Mall, MG Road",3.65,4
"MGF Metropolis Mall, MG Road",3.2,6
"MGF Metropolitan Mall, MG Road",3.24,24
"MGF Metropolitan Mall, Saket",3.64,5
"MGM Club, Daryaganj",0.53,6
"MSX Mall, Greater Noida",2.6,7
MVP Colony,4.1,1
Macedon,3.5,1
Macon,4.31,10
Macunk�_y,4.3,1
Maddilapalem,3.5,1
Madeira Beach/Redington Beach,4.5,1
Madhapur,4.3,2
Madinat Zayed,3.6,1
"Madinat Zayed Shopping Centre, Madinat Zayed ",4.5,1
Madureira,0.0,1
Maharana Pratap Nagar,3.84,5
Maharani Peta,3.65,2
Mahipalpur,1.07,69
"Maidens Hotel, Civil Lines",3.13,3
"Main Market, Sarabha Nagar",4.08,5
"Majaz Waterfront, Al Majaz 3",3.9,1
"Majiwada, Thane West",3.9,1
Majnu ka Tila,0.5,25
Malad West,4.33,3
Mall Road,3.92,4
"Mall of Qatar, Al Gharafa",4.0,1
"Mall of the Emirates, Barsha 1",4.3,1
Malsi,3.9,1
Maltepe,4.4,1
Malviya Nagar,3.43,85
Mandi House,1.62,4
"Mani Square Mall, Kankurgachi",3.9,1
Mankhool,4.4,1
Mansingh Road,0.0,1
Marathahalli,4.5,2
"Marina Centre, Downtown Core",3.57,3
Marion,4.7,1
Market Street,4.1,2
Marshalltown,4.9,1
Mathura Road,2.1,2
"Maurya Lok, Fraser Road Area",3.6,1
Mayapuri Phase 2,2.5,15
Mayfair,4.6,2
"Mayfair Lagoon, Jayadev Vihar",4.1,1
Mayfield,2.9,1
Mayur Vihar Phase 1,2.03,84
Mayur Vihar Phase 2,2.81,29
Mayur Vihar Phase 3,1.84,32
Mc Millan,2.4,1
Mehrauli,0.58,20
"Melrose Arch, Melrose ",4.1,1
"Menlyn Boutique Hotel, Menlyn",4.4,1
"Menlyn Maine, Waterkloof Glen",3.9,1
"Menlyn Shopping Centre, Menlyn",3.7,2
Meridian,4.0,1
"Metro Walk Mall, Rohini",3.13,3
Middleton Beach,3.8,1
Miller,3.4,1
Mills 50,4.5,2
Mission Bay,2.3,1
Moda,4.0,1
Model Town 1,3.8,1
Model Town 2,3.26,25
Model Town 3,3.01,10
Moema,3.9,1
Mohan Nagar,4.4,1
"Moments Mall, Kirti Nagar",3.23,23
Mondha,3.5,1
Monroe,3.6,1
Montville,2.4,1
"Mosaic Hotels, Sector 18, Noida ",3.25,2
Moseley,2.0,2
Moti Bagh,3.18,5
Moti Nagar,1.85,40
Mt Albert,4.4,1
Mt Eden,4.17,3
Mt Victoria,4.1,1
Mukherjee Nagar,1.06,68
Munirka,1.56,43
Musheireb,3.8,1
"Mushrif Mall, Al Mushrif",4.0,1
Mussafah Sanaiya,4.0,1
Muwailih Commercial,4.8,1
Mylapore,4.0,1
NIT,0.0,4
Nadesar,3.5,2
Najafgarh,0.05,60
Najda,4.1,3
Nampa,4.4,1
Nangloi,0.0,41
Nanpura,3.9,1
Naraina,1.45,54
Narela,0.0,8
"Nassima Royal Hotel, Trade Centre Area",4.9,1
